Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.06369711145049E-09,-6.53076676071507E-10,0.00655119521484451,0,0,0,0.0603574048047682,2.62795167194068E-05,1.08062986106813E-12,4.29652646551279E-12,3.23876165617027E-05,3.99812665692441E-13,5.36673495130944E-05,0,0,0,0,0,0,package://leg-2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://leg-2/meshes/base_link.STL,,foot-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_L_0,-0.00500044767930677,-8.03686567435458E-08,-3.69876562988924E-07,0,0,0,0.00111252650071424,5.86374551035033E-08,7.32232501706718E-13,-1.71378477470593E-12,1.47185849965676E-08,-8.00224605316878E-13,5.70070170387329E-08,0,0,0,0,0,0,package://leg-2/meshes/L_L_0.STL,1,1,1,1,0,0,0,0,0,0,package://leg-2/meshes/L_L_0.STL,,ankle1-1,Origin_J_L_0,Axis_J_L_0,J_L_0,continuous,0,-0.035,0.0300000000000001,-0.279854049721946,0,-1.5707963267949,base_link,1,0,0,,,,,,,,,,,,
L_L_1,2.56739074444567E-15,0.0074999999999992,-8.04911692853238E-16,0,0,0,0.00642920367320511,7.7370483969244E-07,-2.64697796016969E-23,-7.51703564774716E-23,5.72792224904781E-07,-5.75280396845419E-24,8.32798685348823E-07,0,0,0,0,0,0,package://leg-2/meshes/L_L_1.STL,1,1,1,1,0,0,0,0,0,0,package://leg-2/meshes/L_L_1.STL,,ankle-1,Origin_J_L_1,Axis_J_L_1,J_L_1,continuous,-0.00500000000000003,0,0,1.5707963267949,0,-1.5707963267949,L_L_0,1,0,0,,,,,,,,,,,,
L_L_2,0.0829352552189961,-0.00577871243285216,-1.04083408558608E-16,0,0,0,0.0162098836233209,2.40381887534248E-06,6.16592737719074E-06,3.48419816267515E-22,3.53395888356251E-05,-9.33045868568433E-22,3.74765154762597E-05,0,0,0,0,0,0,package://leg-2/meshes/L_L_2.STL,1,1,1,1,0,0,0,0,0,0,package://leg-2/meshes/L_L_2.STL,,Link_04-4,Origin_J_L_2,Axis_J_L_2,J_L_2,continuous,0,0.01,0,-3.14159265358979,0,1.5707963267949,L_L_1,1,0,0,,,,,,,,,,,,
L_R_0,0.00499955232069328,-8.03686492842348E-08,-3.6987656351628E-07,0,0,0,0.00111252650071424,5.86374551035033E-08,7.32232501485636E-13,-1.71378477464577E-12,1.47185849965676E-08,-8.00224605373333E-13,5.70070170387329E-08,0,0,0,0,0,0,package://leg-2/meshes/L_R_0.STL,1,1,1,1,0,0,0,0,0,0,package://leg-2/meshes/L_R_0.STL,,ankle1-2,Origin_J_R_0,Axis_J_R_0,J_R_0,continuous,0,0.0249999999999999,0.03,0.279854049721946,0,1.5707963267949,base_link,1,0,0,,,,,,,,,,,,
L_R_1,-4.87804241444678E-15,0.00749999999999895,7.63278329429795E-16,0,0,0,0.0064292036732051,7.73704839692439E-07,2.24993126614424E-22,-1.56250248067259E-22,5.7279222490478E-07,2.13588113585916E-23,8.32798685348821E-07,0,0,0,0,0,0,package://leg-2/meshes/L_R_1.STL,1,1,1,1,0,0,0,0,0,0,package://leg-2/meshes/L_R_1.STL,,ankle-2,Origin_J_R_1,Axis_J_R_1,J_R_1,continuous,0.00500000000000005,0,0,1.5707963267949,0,-1.5707963267949,L_R_0,1,0,0,,,,,,,,,,,,
L_R_2,0.0829352552189959,0.00577871243284926,1.52655665885959E-16,0,0,0,0.0162098836233209,2.40381887534248E-06,-6.16592737719073E-06,-6.04711054714986E-22,3.5339588835625E-05,1.07664232818176E-22,3.74765154762597E-05,0,0,0,0,0,0,package://leg-2/meshes/L_R_2.STL,1,1,1,1,0,0,0,0,0,0,package://leg-2/meshes/L_R_2.STL,,Link_04-5,Origin_J_R_2,Axis_J_R_2,J_R_2,continuous,0,0.01,0,-3.14159265358979,0,1.5707963267949,L_R_1,1,0,0,,,,,,,,,,,,
